stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4845,0120,Залізнична РА (0120),вул. Є. Патона 7,49.822632,23.965602
4846,0444,Чукаріна (0444),"вул. Хуторівка (вул. В. Чукаріна, 28)",49.800478,24.040704
4847,0424,Центр Довженка (0424),вул. Сихівська 13,49.794023,24.061708
4848,0111,Приміський вокзал (0111),вул. Городоцька (навпроти № 169),49.835740,23.995594
4849,0042,пл. Митна (0042),вул. Личаківська 7,49.839833,24.038005
4850,0046,Кропивницького (0046),пл. М. Кропивницького 3,49.837303,24.005352
4851,0557,Бандери (0557),вул. С. Бандери 73,49.834858,24.006897
4852,0556,Карпінського (0556),вул. С. Бандери 53,49.834696,24.010022
4853,0065,Львівська політехніка (0065),вул. С. Бандери 15,49.834613,24.016140
4854,0045,Головна пошта (0045),"вул. М. Коперника (вул. В. Стефаника, 2)",49.837097,24.024358
4855,0217,Ш. Руставелі (0217),"вул. Зелена, 12",49.833893,24.036680
4856,0219,Львівводоканал (0219),вул. Зелена 54,49.830786,24.043193
4857,0024,Водогінна (0024),вул. Зелена 118,49.826280,24.043509
4858,0025,Керченська (0025),вул. Зелена (навпроти № 109),49.823470,24.052248
4859,0369,Липова Алея (0369),вул. Зелена 130,49.820659,24.055879
4860,0372,Дністерська (0372),вул. Зелена 150,49.817745,24.059388
4861,0365,Вашингтона (0365),"вул. Дж. Вашингтона (вул. Зелена, 147)",49.815921,24.063009
4862,0363,Перинатальний центр (0363),вул. Дж. Вашингтона 6,49.815714,24.070434
4863,0282,Лисинецька (0282),вул. Пасічна 85,49.817039,24.077262
4864,0284,Ярошинської (0284),"вул. Пасічна (вул. Є. Ярошинської, 2)",49.822568,24.075173
4866,0268,Каштанова (0268),вул. Медової Печери 30,49.824439,24.079580
4867,0270,Медової Печери (0270),вул. Медової Печери 67,49.823044,24.083960
4868,0269,Каштанова (0269),вул. Медової Печери 45,49.824557,24.079537
4869,0267,Майорівка (0267),вул. Медової Печери 1,49.826636,24.072810
4870,0278,Таджицька (0278),вул. Пасічна 39,49.830834,24.068363
4872,,Богдана Котика (0252),вул. Личаківська 149,49.837377,24.060391
4874,0245,Медичний університет (0245),вул. Личаківська 67,49.840100,24.049024
4875,0242,Військовий госпіталь (0242),вул. Личаківська 35,49.840259,24.043150
4876,0057,Підвальна (0057),вул. Підвальна 2,49.842525,24.035160
4877,0040,Театральна (0040),"пл. Ярослава Осмомисла, (Добробут)",49.844819,24.027706
4878,0013,Магнус (0013),вул. Городоцька 8,49.843935,24.024104
